id,pokemon,type_1,type_2,height_m,weight_kg,description,ability,img_url
48,Venonat,bug,poison,1.0,30.0,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,Compound Eyes,https://img.pokemondb.net/sprites/home/normal/2x/avif/venonat.avif
49,Venomoth,bug,poison,1.5,12.5,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.",Shield Dust,https://img.pokemondb.net/sprites/home/normal/2x/avif/venomoth.avif
50,Diglett,ground,,0.2,0.8,"It lives about one yard underground, where it feeds on plant roots. It sometimes appears aboveground.",Sand Veil,https://img.pokemondb.net/sprites/home/normal/2x/avif/diglett.avif
51,Dugtrio,ground,,0.7,33.3,"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow.",Sand Veil,https://img.pokemondb.net/sprites/home/normal/2x/avif/dugtrio.avif
52,Meowth,normal,,0.4,4.2,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.",Pickup,https://img.pokemondb.net/sprites/home/normal/2x/avif/meowth.avif
53,Persian,normal,,1.0,32.0,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",Technician,https://img.pokemondb.net/sprites/home/normal/2x/avif/persian.avif
54,Psyduck,water,,0.8,19.6,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.",Damp,https://img.pokemondb.net/sprites/home/normal/2x/avif/psyduck.avif
55,Golduck,water,,1.7,76.6,"When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.",Damp,https://img.pokemondb.net/sprites/home/normal/2x/avif/golduck.avif
56,Mankey,fighting,,0.5,28.0,"It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.",Vital Spirit,https://img.pokemondb.net/sprites/home/normal/2x/avif/mankey.avif
57,Primeape,fighting,,1.0,32.0,It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.,Vital Spirit,https://img.pokemondb.net/sprites/home/normal/2x/avif/primeape.avif
58,Growlithe,fire,,0.7,19.0,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,Intimidate,https://img.pokemondb.net/sprites/home/normal/2x/avif/growlithe.avif
59,Arcanine,fire,,1.9,155.0,An ancient picture scroll shows that people were captivated by its movement as it ran through prairies.,Intimidate,https://img.pokemondb.net/sprites/home/normal/2x/avif/arcanine.avif
60,Poliwag,water,,0.6,12.4,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.",Damp,https://img.pokemondb.net/sprites/home/normal/2x/avif/poliwag.avif
61,Poliwhirl,water,,1.0,20.0,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,Damp,https://img.pokemondb.net/sprites/home/normal/2x/avif/poliwhirl.avif
62,Poliwrath,water,fighting,1.3,54.0,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",Damp,https://img.pokemondb.net/sprites/home/normal/2x/avif/poliwrath.avif
63,Abra,psychic,,0.9,19.5,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,Inner Focus,https://img.pokemondb.net/sprites/home/normal/2x/avif/abra.avif
64,Kadabra,psychic,,1.3,56.5,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",Inner Focus,https://img.pokemondb.net/sprites/home/normal/2x/avif/kadabra.avif
65,Alakazam,psychic,,1.5,48.0,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",Inner Focus,https://img.pokemondb.net/sprites/home/normal/2x/avif/alakazam.avif
66,Machop,fighting,,0.8,19.5,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.",Guts,https://img.pokemondb.net/sprites/home/normal/2x/avif/machop.avif
67,Machoke,fighting,,1.5,70.5,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",Guts,https://img.pokemondb.net/sprites/home/normal/2x/avif/machoke.avif
68,Machamp,fighting,,1.6,130.0,"It punches with its four arms at blinding speed. It can launch 1,000 punches in two seconds.",Guts,https://img.pokemondb.net/sprites/home/normal/2x/avif/machamp.avif
69,Bellsprout,grass,poison,0.7,4.0,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/bellsprout.avif
70,Weepinbell,grass,poison,1.0,6.4,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/weepinbell.avif
71,Victreebel,grass,poison,1.7,15.5,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/victreebel.avif
72,Tentacool,water,poison,0.9,45.5,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,Clear Body,https://img.pokemondb.net/sprites/home/normal/2x/avif/tentacool.avif
73,Tentacruel,water,poison,1.6,55.0,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",Clear Body,https://img.pokemondb.net/sprites/home/normal/2x/avif/tentacruel.avif
74,Geodude,rock,ground,0.4,20.0,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.",Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/geodude.avif
75,Graveler,rock,ground,1.0,105.0,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.",Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/graveler.avif
76,Golem,rock,ground,1.4,300.0,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.",Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/golem.avif
77,Ponyta,fire,,1.0,30.0,"About an hour after birth, Ponyta’s fiery mane and tail grow out, giving the Pokémon an impressive appearance.",Run Away,https://img.pokemondb.net/sprites/home/normal/2x/avif/ponyta.avif
78,Rapidash,fire,,1.7,95.0,"It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow.",Run Away,https://img.pokemondb.net/sprites/home/normal/2x/avif/rapidash.avif
79,Slowpoke,water,psychic,1.2,36.0,It is incredibly slow and dopey. It takes five seconds for it to feel pain when under attack.,Oblivious,https://img.pokemondb.net/sprites/home/normal/2x/avif/slowpoke.avif
80,Slowbro,water,psychic,1.6,78.5,"When a Slowpoke went hunting in the sea, its tail was bitten by a Shellder. That made it evolve into Slowbro.",Oblivious,https://img.pokemondb.net/sprites/home/normal/2x/avif/slowbro.avif
81,Magnemite,electric,steel,0.3,6.0,"The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float.",Sturdy,https://img.pokemondb.net/sprites/home/normal/2x/avif/magnemite.avif
82,Magneton,electric,steel,1.0,60.0,Three Magnemite are linked by a strong magnetic force. Earaches will occur if you get too close.,Sturdy,https://img.pokemondb.net/sprites/home/normal/2x/avif/magneton.avif
83,Farfetch'd,normal,flying,,,,,https://img.pokemondb.net/sprites/home/normal/2x/avif/farfetchd.avif
84,Doduo,normal,flying,1.4,39.2,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.",Run Away,https://img.pokemondb.net/sprites/home/normal/2x/avif/doduo.avif
85,Dodrio,normal,flying,1.8,85.2,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,Run Away,https://img.pokemondb.net/sprites/home/normal/2x/avif/dodrio.avif
86,Seel,water,,1.1,90.0,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,Thick Fat,https://img.pokemondb.net/sprites/home/normal/2x/avif/seel.avif
87,Dewgong,water,ice,1.7,120.0,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters.",Thick Fat,https://img.pokemondb.net/sprites/home/normal/2x/avif/dewgong.avif
88,Grimer,poison,,0.9,30.0,"Born from sludge, these Pokémon now gather in polluted places and increase the bacteria in their bodies.",Stench,https://img.pokemondb.net/sprites/home/normal/2x/avif/grimer.avif
89,Muk,poison,,1.2,30.0,"It’s thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",Stench,https://img.pokemondb.net/sprites/home/normal/2x/avif/muk.avif
90,Shellder,water,,0.3,4.0,"It is encased in a shell that is harder than diamond. Inside, however, it is surprisingly tender.",Shell Armor,https://img.pokemondb.net/sprites/home/normal/2x/avif/shellder.avif
91,Cloyster,water,ice,1.5,132.5,"Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells.",Shell Armor,https://img.pokemondb.net/sprites/home/normal/2x/avif/cloyster.avif
92,Gastly,ghost,poison,1.3,0.1,"It wraps its opponent in its gas-like body, slowly weakening its prey by poisoning it through the skin.",Levitate,https://img.pokemondb.net/sprites/home/normal/2x/avif/gastly.avif
93,Haunter,ghost,poison,1.6,0.1,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.,Levitate,https://img.pokemondb.net/sprites/home/normal/2x/avif/haunter.avif
94,Gengar,ghost,poison,1.5,40.5,"To steal the life of its target, it slips into the prey’s shadow and silently waits for an opportunity.",Cursed Body,https://img.pokemondb.net/sprites/home/normal/2x/avif/gengar.avif
95,Onix,rock,ground,8.8,210.0,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.",Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/onix.avif
96,Drowzee,psychic,,1.0,32.4,It remembers every dream it eats. It rarely eats the dreams of adults because children’s are much tastier.,Insomnia,https://img.pokemondb.net/sprites/home/normal/2x/avif/drowzee.avif
97,Hypno,psychic,,1.6,75.6,"When it locks eyes with an enemy, it will use a mix of psi moves, such as Hypnosis and Confusion.",Insomnia,https://img.pokemondb.net/sprites/home/normal/2x/avif/hypno.avif
98,Krabby,water,,0.4,6.5,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,Shell Armor,https://img.pokemondb.net/sprites/home/normal/2x/avif/krabby.avif
99,Kingler,water,,1.3,60.0,"The larger pincer has 10,000-horsepower strength. However, it is so heavy, it is difficult to aim.",Shell Armor,https://img.pokemondb.net/sprites/home/normal/2x/avif/kingler.avif
100,Voltorb,electric,,0.5,10.4,"It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.",Static,https://img.pokemondb.net/sprites/home/normal/2x/avif/voltorb.avif
101,Electrode,electric,,1.2,66.6,"The more energy it charges up, the faster it gets. But this also makes it more likely to explode.",Static,https://img.pokemondb.net/sprites/home/normal/2x/avif/electrode.avif
102,Exeggcute,grass,psychic,0.4,2.5,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/exeggcute.avif
103,Exeggutor,grass,psychic,2.0,120.0,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/exeggutor.avif
104,Cubone,ground,,0.4,6.5,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.",Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/cubone.avif
105,Marowak,ground,,1.0,45.0,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.",Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/marowak.avif
106,Hitmonlee,fighting,,1.5,49.8,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.,Limber,https://img.pokemondb.net/sprites/home/normal/2x/avif/hitmonlee.avif
107,Hitmonchan,fighting,,1.4,50.2,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.",Keen Eye,https://img.pokemondb.net/sprites/home/normal/2x/avif/hitmonchan.avif
108,Lickitung,normal,,1.2,65.5,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either.",Oblivious,https://img.pokemondb.net/sprites/home/normal/2x/avif/lickitung.avif
109,Koffing,poison,,0.6,1.0,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.",Levitate,https://img.pokemondb.net/sprites/home/normal/2x/avif/koffing.avif
110,Weezing,poison,,1.2,9.5,"It grows by feeding on gases released by garbage. Though very rare, triplets have been found.",Levitate,https://img.pokemondb.net/sprites/home/normal/2x/avif/weezing.avif
111,Rhyhorn,ground,rock,1.0,115.0,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.",Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/rhyhorn.avif
112,Rhydon,ground,rock,1.9,120.0,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,Rock Head,https://img.pokemondb.net/sprites/home/normal/2x/avif/rhydon.avif
113,Chansey,normal,,1.1,34.6,This kindly Pokémon lays highly nutritious eggs and shares them with injured Pokémon or people.,Natural Cure,https://img.pokemondb.net/sprites/home/normal/2x/avif/chansey.avif
114,Tangela,grass,,1.0,35.0,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.",Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/tangela.avif
115,Kangaskhan,normal,,2.2,80.0,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.",Early Bird,https://img.pokemondb.net/sprites/home/normal/2x/avif/kangaskhan.avif
116,Horsea,water,,0.4,8.0,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.",Swift Swim,https://img.pokemondb.net/sprites/home/normal/2x/avif/horsea.avif
117,Seadra,water,,1.2,25.0,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.",Poison Point,https://img.pokemondb.net/sprites/home/normal/2x/avif/seadra.avif
118,Goldeen,water,,0.6,15.0,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.",Swift Swim,https://img.pokemondb.net/sprites/home/normal/2x/avif/goldeen.avif
119,Seaking,water,,1.3,39.0,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.",Swift Swim,https://img.pokemondb.net/sprites/home/normal/2x/avif/seaking.avif
120,Staryu,water,,0.8,34.5,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.",Natural Cure,https://img.pokemondb.net/sprites/home/normal/2x/avif/staryu.avif
121,Starmie,water,psychic,1.1,80.0,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,Natural Cure,https://img.pokemondb.net/sprites/home/normal/2x/avif/starmie.avif
122,Mr. Mime,psychic,fairy,,,,,https://img.pokemondb.net/sprites/home/normal/2x/avif/mr-mime.avif
123,Scyther,bug,flying,1.5,56.0,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track.",Swarm,https://img.pokemondb.net/sprites/home/normal/2x/avif/scyther.avif
124,Jynx,ice,psychic,1.4,40.6,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.",Oblivious,https://img.pokemondb.net/sprites/home/normal/2x/avif/jynx.avif
125,Electabuzz,electric,,1.1,30.0,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,Static,https://img.pokemondb.net/sprites/home/normal/2x/avif/electabuzz.avif
126,Magmar,fire,,1.3,44.5,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,Flame Body,https://img.pokemondb.net/sprites/home/normal/2x/avif/magmar.avif
127,Pinsir,bug,,1.5,55.0,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",Hyper Cutter,https://img.pokemondb.net/sprites/home/normal/2x/avif/pinsir.avif
128,Tauros,normal,,1.4,88.4,"Once it takes aim at its prey, it makes a headlong charge. It is famous for its violent nature.",Intimidate,https://img.pokemondb.net/sprites/home/normal/2x/avif/tauros.avif
129,Magikarp,water,,0.9,10.0,"An underpowered, pathetic Pokémon. It may jump high on rare occasions but never more than seven feet.",Swift Swim,https://img.pokemondb.net/sprites/home/normal/2x/avif/magikarp.avif
130,Gyarados,water,flying,6.5,235.0,"Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.",Intimidate,https://img.pokemondb.net/sprites/home/normal/2x/avif/gyarados.avif
131,Lapras,water,ice,2.5,220.0,It loves crossing the sea with people and Pokémon on its back. It understands human speech.,Water Absorb,https://img.pokemondb.net/sprites/home/normal/2x/avif/lapras.avif
132,Ditto,normal,,0.3,4.0,"Its transformation ability is perfect. However, if made to laugh, it can’t maintain its disguise.",Limber,https://img.pokemondb.net/sprites/home/normal/2x/avif/ditto.avif
133,Eevee,normal,,0.3,6.5,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,Run Away,https://img.pokemondb.net/sprites/home/normal/2x/avif/eevee.avif
134,Vaporeon,water,,1.0,29.0,"It lives close to water. Its long tail is ridged with a fin, which is often mistaken for a mermaid’s.",Water Absorb,https://img.pokemondb.net/sprites/home/normal/2x/avif/vaporeon.avif
135,Jolteon,electric,,0.8,24.5,It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.,Volt Absorb,https://img.pokemondb.net/sprites/home/normal/2x/avif/jolteon.avif
136,Flareon,fire,,0.9,25.0,"Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees Fahrenheit.",Flash Fire,https://img.pokemondb.net/sprites/home/normal/2x/avif/flareon.avif
137,Porygon,normal,,0.8,36.5,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,Trace,https://img.pokemondb.net/sprites/home/normal/2x/avif/porygon.avif
138,Omanyte,rock,water,0.4,7.5,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.",Shell Armor,https://img.pokemondb.net/sprites/home/normal/2x/avif/omanyte.avif
139,Omastar,rock,water,1.0,35.0,"Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.",Shell Armor,https://img.pokemondb.net/sprites/home/normal/2x/avif/omastar.avif
140,Kabuto,rock,water,0.5,11.5,"This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder.",Swift Swim,https://img.pokemondb.net/sprites/home/normal/2x/avif/kabuto.avif
141,Kabutops,rock,water,1.3,40.5,Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.,Swift Swim,https://img.pokemondb.net/sprites/home/normal/2x/avif/kabutops.avif
